Company,TypeName,Inches,Ram,OpSys,Price,Res_Width,Res_Height,Is_IPS,Cpu_Gamme,Cpu_Frequence_GHz,has_ssd,has_hdd,has_flash,has_hybrid,total_memory_gb,gpu_brand,has_intel_gpu,has_nvidia_gpu,has_amd_gpu,weight_kg
Asus,Notebook,15.6,8,Linux,27864.9072,1366,768,0,Intel Core i5,2.5,0,1,0,0,1024.0,Nvidia,0,1,0,2.3
Acer,Notebook,15.6,4,Windows 10,36336.96,1920,1080,1,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,2.2
Dell,2 in 1 Convertible,17.3,12,Windows 10,53226.72,1920,1080,0,Intel Core i5,1.6,0,1,0,0,1024.0,Nvidia,0,1,0,2.77
Apple,Ultrabook,13.3,8,macOS,75604.32,2560,1600,1,Intel Core i5,2.0,1,0,0,0,256.0,Intel,1,0,0,1.37
Asus,Gaming,17.3,8,Windows 10,69210.72,1920,1080,0,AMD Ryzen 1700,3.0,1,1,0,0,1280.0,AMD,0,0,1,3.2
Dell,Notebook,15.6,4,Windows 10,34045.92,1920,1080,0,Intel Core i5,2.5,1,0,0,0,256.0,AMD,0,0,1,2.3
Asus,Notebook,17.3,4,Windows 10,24828.48,1366,768,0,Intel Pentium Quad,1.1,0,1,0,0,1024.0,Nvidia,0,1,0,2.8
Acer,Notebook,15.6,8,Windows 10,44808.48,1920,1080,1,Intel Core i7,1.8,1,0,0,0,256.0,Nvidia,0,1,0,2.2
HP,Notebook,15.6,4,Windows 10,21231.5472,1920,1080,0,AMD A6-Series 9220,2.5,1,0,0,0,256.0,AMD,0,0,1,1.86
HP,Notebook,13.3,8,Windows 10,58767.84,1920,1080,0,Intel Core i7,1.8,1,0,0,0,512.0,Intel,1,0,0,1.49
Acer,Notebook,15.6,4,Windows 10,20459.52,1366,768,0,Intel Core i3,2.4,0,1,0,0,1024.0,Intel,1,0,0,2.4
Dell,Notebook,15.6,8,Windows 10,40908.384,1920,1080,0,Intel Core i7,1.8,1,0,0,0,256.0,AMD,0,0,1,2.13
HP,Notebook,15.6,4,Windows 10,23389.92,1920,1080,0,Intel Core i3,2.0,1,0,0,0,128.0,Intel,1,0,0,1.91
Asus,Notebook,15.6,4,Windows 10,31232.2032,1366,768,0,Intel Core i5,2.5,1,0,0,0,256.0,Intel,1,0,0,2.0
MSI,Gaming,17.3,16,Windows 10,130482.72,1920,1080,0,Intel Core i7,2.8,1,1,0,0,2304.0,Nvidia,0,1,0,2.43
Asus,Notebook,15.6,4,Linux,22111.2,1920,1080,0,Intel Core i3,2.0,1,0,0,0,256.0,Intel,1,0,0,2.0
Dell,Notebook,17.3,16,Windows 10,69210.72,1920,1080,0,Intel Core i7,1.8,1,1,0,0,2304.0,AMD,0,0,1,2.8
Dell,Ultrabook,14.0,8,Windows 10,46833.12,1920,1080,0,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,1.7
Lenovo,Notebook,14.0,8,No OS,31914.72,1920,1080,1,Intel Core i3,2.7,1,0,0,0,256.0,Intel,1,0,0,1.7
Asus,Notebook,14.0,8,Windows 10,50136.48,1920,1080,0,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,1.4
HP,Notebook,15.6,8,Windows 10,36763.2,1920,1080,0,Intel Core i5,2.5,1,0,0,0,256.0,Intel,1,0,0,1.86
Asus,Ultrabook,15.6,16,Windows 10,105654.24,1920,1080,0,Intel Core i7,2.8,1,0,0,0,512.0,Nvidia,0,1,0,1.8
HP,Notebook,15.6,4,Windows 10,23373.4032,1366,768,0,Intel Core i3,2.0,0,1,0,0,500.0,AMD,0,0,1,1.86
HP,Notebook,14.0,4,Windows 10,12201.12,1366,768,0,Intel Celeron Dual,1.6,1,0,0,0,32.0,Intel,1,0,0,1.44
Lenovo,Notebook,15.6,4,Windows 10,29250.72,1920,1080,0,Intel Core i5,2.5,0,1,0,0,1024.0,Intel,1,0,0,1.9
Asus,Gaming,17.3,12,Linux,50562.72,1920,1080,0,Intel Core i7,2.8,0,1,0,0,1024.0,Nvidia,0,1,0,3.0
Microsoft,Ultrabook,13.5,4,Windows 10 S,58021.92,2256,1504,0,Intel Core i5,2.5,1,0,0,0,128.0,Intel,1,0,0,1.252
Dell,Ultrabook,13.3,64,Windows 10,50882.4,1920,1080,1,Intel Core i7,1.8,1,0,0,0,256.0,AMD,0,0,1,1.4
Dell,Notebook,15.6,8,Windows 10,46353.6,1920,1080,0,Intel Core i7,1.8,1,0,0,0,256.0,AMD,0,0,1,2.2
MSI,Gaming,17.3,8,Windows 10,58341.6,1920,1080,0,Intel Core i5,2.5,1,1,0,0,1152.0,Nvidia,0,1,0,2.7
Acer,Notebook,14.0,8,Windows 10,20725.92,1366,768,0,Intel Core i3,2.0,0,1,0,0,1024.0,Intel,1,0,0,2.1
Asus,Gaming,15.6,8,Windows 10,50562.72,1920,1080,0,Intel Core i7,2.8,0,1,0,0,1024.0,Nvidia,0,1,0,2.2
Lenovo,Notebook,15.6,8,No OS,27652.32,1920,1080,0,Intel Core i5,2.5,0,1,0,0,2048.0,Intel,1,0,0,2.2
Dell,Notebook,15.6,8,Windows 10,45554.4,1920,1080,0,Intel Core i7,1.8,1,1,0,0,1152.0,Intel,1,0,0,2.02
Acer,Notebook,15.6,4,Windows 10,28238.4,1920,1080,0,Intel Core i3,2.7,0,1,0,0,1024.0,Nvidia,0,1,0,2.2
HP,Notebook,17.3,8,Windows 10,52054.56,1920,1080,0,Intel Core i5,1.6,1,1,0,0,1152.0,Nvidia,0,1,0,2.5
Dell,Ultrabook,15.6,8,Windows 10,58403.4048,1920,1080,1,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,1.88
Apple,Ultrabook,12.0,8,macOS,80452.8,2304,1440,1,Intel Core i5,1.3,1,0,0,0,512.0,Intel,1,0,0,0.92
HP,Notebook,14.0,8,Windows 10,45820.8,1920,1080,0,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,1.63
Lenovo,Notebook,15.6,4,Windows 10,21258.72,1920,1080,0,AMD A6-Series 9220,2.5,1,0,0,0,128.0,AMD,0,0,1,2.2
Acer,Notebook,15.6,4,Windows 10,21045.6,1366,768,0,AMD A9-Series 9420,3.0,0,1,0,0,1024.0,AMD,0,0,1,2.1
Dell,Gaming,15.6,16,Windows 10,71874.72,1920,1080,1,Intel Core i7,2.8,1,1,0,0,1152.0,Nvidia,0,1,0,2.65
HP,Ultrabook,15.6,8,Windows 10,37242.72,1920,1080,1,Intel Core i7,1.8,1,0,0,0,256.0,Nvidia,0,1,0,1.83
HP,Notebook,15.6,8,Windows 10,31914.1872,1920,1080,0,Intel Core i5,2.5,1,0,0,0,256.0,Intel,1,0,0,1.96
Asus,Gaming,15.6,16,Windows 10,77202.72,1920,1080,1,Intel Core i7,2.8,1,1,0,0,1152.0,Nvidia,0,1,0,2.2
Dell,Ultrabook,13.3,8,Windows 10,87858.72,1920,1080,1,Intel Core i7,1.8,1,0,0,0,256.0,Intel,1,0,0,1.21
Asus,Gaming,15.6,8,Windows 10,37242.72,1920,1080,0,AMD FX 9830P,3.0,0,1,0,0,1024.0,AMD,0,0,1,2.45
Acer,Notebook,15.6,2,Windows 10,36709.92,1920,1080,0,Intel Core i7,1.8,0,1,0,0,1024.0,Nvidia,0,1,0,2.2
HP,Notebook,13.3,16,Windows 10,63776.16,1920,1080,0,Intel Core i7,1.8,1,0,0,0,512.0,Intel,1,0,0,1.49
Dell,Gaming,15.6,8,Windows 10,63669.6,1920,1080,0,Intel Core i5,2.5,1,0,0,0,256.0,Nvidia,0,1,0,2.65
Asus,Ultrabook,14.0,8,Windows 10,55890.72,1920,1080,0,Intel Core i7,2.7,1,0,0,0,256.0,Intel,1,0,0,1.25
Acer,2 in 1 Convertible,13.3,8,Windows 10,45128.16,1920,1080,1,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,1.5
Dell,Notebook,15.6,8,Linux,31962.672,1920,1080,0,Intel Core i7,2.7,0,1,0,0,1024.0,AMD,0,0,1,2.2
Dell,Notebook,15.6,4,Linux,25840.8,1920,1080,0,Intel Core i3,2.0,1,0,0,0,256.0,AMD,0,0,1,2.2
Asus,Notebook,15.6,6,Windows 10,30742.56,1920,1080,0,Intel Core i3,2.4,1,0,0,0,256.0,Nvidia,0,1,0,2.0
HP,Gaming,15.6,12,Windows 10,66546.72,1920,1080,1,Intel Core i7,2.8,1,1,0,0,1152.0,Nvidia,0,1,0,2.62
HP,Notebook,15.6,8,Windows 10,38308.32,1920,1080,0,Intel Core i7,2.7,1,0,0,0,256.0,AMD,0,0,1,1.91
HP,Notebook,15.6,4,Windows 10,18594.72,1920,1080,0,AMD E-Series E2-9000e,1.5,0,1,0,0,500.0,AMD,0,0,1,2.1
Dell,Notebook,15.6,8,Linux,34472.16,1920,1080,0,Intel Core i5,1.6,0,1,0,0,1024.0,AMD,0,0,1,2.2
HP,Ultrabook,13.3,8,Windows 10,59620.32,1920,1080,1,Intel Core i7,2.7,1,0,0,0,256.0,Nvidia,0,1,0,1.38
Microsoft,Ultrabook,13.5,8,Windows 10 S,71395.2,2256,1504,0,Intel Core i5,2.5,1,0,0,0,256.0,Intel,1,0,0,1.252
HP,Notebook,14.0,6,Windows 10,35111.52,1920,1080,1,Intel Core i5,2.5,1,0,0,0,256.0,Nvidia,0,1,0,1.58
Lenovo,Notebook,15.6,4,Windows 10,22105.872,1920,1080,0,Intel Core i3,2.0,0,1,0,0,1024.0,Intel,1,0,0,1.85
Asus,Ultrabook,14.0,8,Windows 10,63563.04,1920,1080,1,Intel Core i7,2.7,1,0,0,0,256.0,Nvidia,0,1,0,1.3
MSI,Gaming,15.6,16,Windows 10,69210.72,1920,1080,0,Intel Core i7,2.8,1,1,0,0,1280.0,Nvidia,0,1,0,2.2
Lenovo,Notebook,14.0,8,Windows 10,78854.4,1920,1080,1,Intel Core i7,2.7,1,0,0,0,256.0,Intel,1,0,0,1.58
Asus,Ultrabook,15.6,16,Windows 10,67239.36,1920,1080,0,Intel Core i7,1.8,1,1,0,0,1280.0,Nvidia,0,1,0,1.5
Dell,Ultrabook,13.3,8,Windows 10,73473.12,3200,1800,0,Intel Core i7,2.4,1,0,0,0,256.0,Intel,1,0,0,1.23
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,74538.72,1920,1080,1,Intel Core i5,2.5,1,0,0,0,256.0,Intel,1,0,0,1.37
HP,Notebook,14.0,4,Windows 10,38468.16,1366,768,1,Intel Core i5,1.6,0,1,0,0,500.0,Intel,1,0,0,1.63
Dell,Ultrabook,13.3,8,Windows 10,86793.12,1920,1080,1,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,1.21
HP,Notebook,14.0,8,Windows 10,57755.52,1920,1080,0,Intel Core i7,1.8,1,0,0,0,512.0,Intel,1,0,0,1.63
Dell,Notebook,15.6,8,Windows 10,60223.9824,1920,1080,1,Intel Core i7,1.8,1,1,0,0,1280.0,Nvidia,0,1,0,2.16
Asus,Notebook,17.3,4,Windows 10,30049.92,1920,1080,0,Intel Core i3,2.0,0,1,0,0,1024.0,Nvidia,0,1,0,2.0
Asus,Notebook,15.6,8,Windows 10,59567.04,1920,1080,0,Intel Core i7,1.8,1,0,0,0,256.0,Nvidia,0,1,0,1.7
Acer,Notebook,15.6,6,Windows 10,25521.12,1920,1080,1,Intel Core i3,2.4,0,1,0,0,1024.0,Intel,1,0,0,2.1
MSI,Gaming,15.6,16,Windows 10,119427.12,1920,1080,0,Intel Core i7,2.8,1,1,0,0,2304.0,Nvidia,0,1,0,1.8
Lenovo,Notebook,15.6,8,No OS,33513.12,1920,1080,0,Intel Core i5,2.5,1,0,0,0,256.0,Nvidia,0,1,0,2.2
HP,Notebook,17.3,16,Windows 10,67718.88,1920,1080,0,Intel Core i7,1.8,1,0,0,0,512.0,Nvidia,0,1,0,2.5
Acer,Notebook,15.6,4,Windows 10,24029.28,1366,768,0,AMD A9-Series 9420,3.0,1,0,0,0,256.0,AMD,0,0,1,2.1
HP,Notebook,14.0,8,Windows 10,43263.36,1920,1080,0,Intel Core i5,1.6,0,1,0,0,1024.0,Intel,1,0,0,1.63
Asus,Notebook,14.0,4,Windows 10 S,14811.3072,1366,768,0,AMD E-Series 6110,1.5,1,0,0,0,64.0,AMD,0,0,1,1.65
Dell,Notebook,17.3,16,Windows 10,74378.88,1920,1080,0,Intel Core i7,1.8,1,1,0,0,2304.0,AMD,0,0,1,2.8
HP,Notebook,17.3,8,Windows 10,49443.84,1920,1080,0,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,2.5
Dell,Notebook,15.6,8,Windows 10,34045.3872,1366,768,0,Intel Core i5,2.5,0,1,0,0,1024.0,AMD,0,0,1,2.36
Dell,Notebook,15.6,4,Windows 10,23922.72,1920,1080,0,Intel Core i3,2.0,0,1,0,0,1024.0,AMD,0,0,1,2.2
Acer,Ultrabook,14.0,8,Windows 10,47099.52,1920,1080,1,Intel Core i7,1.8,1,0,0,0,256.0,Intel,1,0,0,1.6
Acer,Notebook,15.6,4,Windows 10,30476.16,1920,1080,0,Intel Core i3,2.7,1,0,0,0,256.0,Nvidia,0,1,0,7.2
HP,Notebook,15.6,8,Windows 10,31861.44,1366,768,0,Intel Core i7,2.7,0,1,0,0,1024.0,Intel,1,0,0,2.05
HP,Notebook,14.0,8,Windows 10,52640.64,1920,1080,0,Intel Core i7,1.8,1,0,0,0,256.0,Intel,1,0,0,1.63
Lenovo,Notebook,15.6,4,No OS,13445.7408,1366,768,0,Intel Celeron Dual,1.1,0,1,0,0,1024.0,Intel,1,0,0,1.9
Asus,Gaming,17.3,8,Windows 10,49976.64,1920,1080,0,Intel Core i5,2.5,1,1,0,0,1152.0,Nvidia,0,1,0,3.0
Lenovo,Notebook,15.6,4,No OS,26586.72,1920,1080,0,Intel Core i5,2.5,0,1,0,0,1024.0,Nvidia,0,1,0,2.2
HP,Notebook,13.3,4,Windows 10,37242.72,1920,1080,1,Intel Core i5,2.5,1,0,0,0,256.0,Intel,1,0,0,1.32
Acer,Notebook,17.3,4,Windows 10,34898.4,1920,1080,1,Intel Core i3,2.7,0,1,0,0,1024.0,Nvidia,0,1,0,3.0
Lenovo,Notebook,14.0,8,Windows 10,59461.5456,1920,1080,1,Intel Core i5,1.6,1,0,0,0,256.0,AMD,0,0,1,1.75
Lenovo,Gaming,15.6,8,No OS,46300.32,1920,1080,1,Intel Core i7,2.8,1,0,0,0,256.0,Nvidia,0,1,0,2.4
Toshiba,Notebook,15.6,4,Windows 10,32074.56,1366,768,0,Intel Core i5,2.3,0,1,0,0,500.0,Intel,1,0,0,2.1
HP,Notebook,15.6,4,Windows 10,19660.32,1366,768,0,AMD A6-Series 9220,2.5,1,0,0,0,256.0,AMD,0,0,1,1.86
Asus,Ultrabook,14.0,8,Windows 10,58554.72,1920,1080,0,Intel Core i7,1.8,1,0,0,0,256.0,Intel,1,0,0,1.25
HP,Ultrabook,12.5,8,Windows 10,107305.92,3840,2160,1,Intel Core M,1.2,1,0,0,0,512.0,Intel,1,0,0,0.97
Asus,Notebook,15.6,4,Windows 10,18328.32,1920,1080,0,Intel Celeron Dual,1.1,0,1,0,0,1024.0,Intel,1,0,0,2.0
Acer,Notebook,15.6,4,Windows 10,23816.16,1366,768,0,Intel Core i3,2.0,0,1,0,0,1024.0,Intel,1,0,0,2.1
Dell,Gaming,15.6,16,Windows 10,66560.5728,1920,1080,0,Intel Core i7,2.8,1,0,0,0,512.0,Nvidia,0,1,0,2.56
Dell,Gaming,15.6,8,Windows 10,47898.72,1920,1080,0,Intel Core i7,2.8,0,0,0,1,1024.0,Nvidia,0,1,0,2.62
Lenovo,Notebook,15.6,4,Windows 10,26533.44,1366,768,0,Intel Core i5,2.5,1,0,0,0,128.0,Intel,1,0,0,1.9
MSI,Gaming,17.3,16,Windows 10,100699.2,1920,1080,0,Intel Core i7,2.8,1,1,0,0,1280.0,Nvidia,0,1,0,2.8
HP,Ultrabook,14.0,4,Windows 10,57648.96,1920,1080,0,Intel Core i5,2.7,1,0,0,0,256.0,Intel,1,0,0,1.48
HP,Notebook,15.6,6,Windows 10,32980.32,1920,1080,0,Intel Core i5,1.6,1,0,0,0,256.0,AMD,0,0,1,1.91
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,33513.12,1920,1080,1,Intel Core i3,2.4,1,0,0,0,256.0,Intel,1,0,0,1.74
Asus,2 in 1 Convertible,13.3,8,Windows 10,70063.2,1920,1080,0,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,1.1
Dell,2 in 1 Convertible,15.6,8,Windows 10,55890.72,1920,1080,0,Intel Core i7,1.8,1,0,0,0,256.0,Intel,1,0,0,1.56
Toshiba,Notebook,15.6,4,Windows 10,23816.16,1366,768,0,Intel Core i3,2.2,0,1,0,0,500.0,Intel,1,0,0,2.1
Asus,Notebook,15.6,4,Windows 10,21471.84,1366,768,0,AMD A9-Series 9420,3.0,0,1,0,0,1024.0,AMD,0,0,1,2.03
Acer,Notebook,17.3,4,Windows 10,42890.4,1920,1080,1,Intel Core i5,1.6,1,0,0,0,256.0,Nvidia,0,1,0,3.0
Dell,Notebook,15.6,8,Windows 10,38787.84,1920,1080,0,Intel Core i5,1.6,1,0,0,0,256.0,AMD,0,0,1,2.13
Lenovo,Gaming,15.6,16,Windows 10,57489.12,1920,1080,1,Intel Core i7,2.8,1,0,0,0,256.0,Nvidia,0,1,0,2.5
Acer,Notebook,15.6,4,Windows 10,18541.44,1366,768,0,Intel Celeron Dual,1.1,0,1,0,0,1024.0,Intel,1,0,0,2.1
MSI,Gaming,15.6,16,Windows 10,95850.72,1920,1080,1,Intel Core i7,2.8,1,1,0,0,1280.0,Nvidia,0,1,0,2.4
Acer,Notebook,15.6,4,Windows 10,19367.8128,1366,768,0,Intel Pentium Quad,1.1,0,1,0,0,1024.0,Intel,1,0,0,2.1
Dell,Gaming,15.6,8,Windows 10,56502.9072,1920,1080,0,Intel Core i7,2.8,1,1,0,0,1152.0,Nvidia,0,1,0,2.56
Acer,Notebook,17.3,8,Windows 10,45501.12,1920,1080,1,Intel Core i5,1.6,1,0,0,0,256.0,Nvidia,0,1,0,3.0
HP,Notebook,13.3,4,Windows 10,40173.12,1920,1080,1,Intel Core i5,1.6,0,1,0,0,500.0,Intel,1,0,0,1.49
Huawei,Ultrabook,13.0,8,Windows 10,71874.72,2160,1440,1,Intel Core i5,2.5,1,0,0,0,256.0,Intel,1,0,0,1.05
HP,Notebook,17.3,6,Windows 10,37242.72,1920,1080,1,Intel Core i5,2.5,0,1,0,0,2048.0,AMD,0,0,1,2.71
Lenovo,Notebook,15.6,4,No OS,16463.52,1366,768,0,AMD A6-Series 9220,2.9,0,1,0,0,500.0,AMD,0,0,1,2.2
Toshiba,Notebook,15.6,4,Windows 10,26053.92,1366,768,0,Intel Core i3,2.4,0,1,0,0,500.0,Intel,1,0,0,5.4
HP,Notebook,17.3,8,Windows 10,49177.44,1920,1080,0,Intel Core i5,1.6,1,0,0,0,256.0,Nvidia,0,1,0,2.5
Dell,Notebook,15.6,8,Windows 10,24455.52,1366,768,0,Intel Core i3,2.4,0,1,0,0,1024.0,Intel,1,0,0,2.3
Acer,Notebook,15.6,4,Windows 10,23922.72,1366,768,0,Intel Core i3,2.0,1,0,0,0,128.0,Intel,1,0,0,2.1
MSI,Gaming,18.4,32,Windows 10,149130.72,1920,1080,0,Intel Core i7,2.9,1,1,0,0,1536.0,Nvidia,0,1,0,4.4
Lenovo,Notebook,15.6,8,Windows 10,43316.64,1920,1080,0,Intel Core i5,2.5,1,1,0,0,1152.0,AMD,0,0,1,1.9
HP,2 in 1 Convertible,13.3,8,Windows 10,79866.72,3840,2160,1,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,1.29
Dell,Notebook,15.6,16,Linux,55890.72,1920,1080,0,Intel Core i7,1.8,1,1,0,0,2304.0,AMD,0,0,1,2.02
Dell,Ultrabook,13.3,8,Windows 10,74538.72,1920,1080,0,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,1.23
Lenovo,2 in 1 Convertible,13.9,16,Windows 10,98514.72,3840,2160,1,Intel Core i7,1.8,1,0,0,0,512.0,Intel,1,0,0,1.4
Toshiba,Notebook,15.6,8,Windows 10,42251.04,1366,768,0,Intel Core i5,2.5,1,0,0,0,128.0,Intel,1,0,0,2.0
Xiaomi,Notebook,15.6,8,No OS,63882.72,1920,1080,1,Intel Core i5,1.6,1,0,0,0,256.0,Nvidia,0,1,0,1.95
Dell,Notebook,17.3,16,Windows 10,82530.72,1920,1080,0,Intel Core i7,1.8,1,0,0,0,512.0,Nvidia,0,1,0,2.77
Dell,Notebook,15.6,16,Windows 10,127712.16,3840,2160,0,Intel Core i7,2.8,1,0,0,0,512.0,Nvidia,0,1,0,2.06
Lenovo,Gaming,15.6,8,No OS,41505.12,1920,1080,1,Intel Core i5,2.5,1,0,0,0,256.0,Nvidia,0,1,0,2.4
Acer,Ultrabook,13.3,8,Windows 10,52693.92,1920,1080,1,Intel Core i5,1.2,1,0,0,0,256.0,Intel,1,0,0,1.12
Dell,Notebook,17.3,8,Windows 10,57808.8,1920,1080,0,Intel Core i7,1.8,1,1,0,0,1152.0,AMD,0,0,1,2.8
Vero,Notebook,14.0,4,Windows 10,13852.8,1920,1080,1,Intel Celeron Dual,1.1,0,0,1,0,32.0,Intel,1,0,0,1.3
